Row No.,Survived,Age,Passenger,Sex,Siblings,Parents,Fair
97,No,29.88113451,First,Male,0,0,0
98,No,37,First,Male,1,0,53.1
99,No,47,First,Male,0,0,38.5
100,Yes,35,First,Female,0,0,211.5
101,Yes,22,First,Female,0,1,59.4
102,Yes,45,First,Female,0,1,59.4
103,No,24,First,Male,0,0,79.2
104,Yes,49,First,Male,1,0,89.1042
105,Yes,29.88113451,First,Female,1,0,89.1042
106,No,71,First,Male,0,0,34.6542
107,Yes,53,First,Male,0,0,28.5
108,No,38,First,Male,0,1,153.4625
109,Yes,58,First,Female,0,1,153.4625
110,Yes,45,First,Female,0,1,63.3583
111,No,46,First,Male,0,0,79.2
112,Yes,25,First,Male,1,0,55.4417
113,Yes,25,First,Female,1,0,55.4417
114,Yes,48,First,Male,1,0,76.7292
115,No,29.88113451,First,Male,0,0,42.4
116,Yes,27,First,Male,0,0,76.7292
117,Yes,29.88113451,First,Male,0,0,30
118,Yes,24,First,Female,0,0,83.1583
119,No,55,First,Male,1,1,93.5
120,Yes,52,First,Female,1,1,93.5
121,No,42,First,Male,0,0,42.5
122,No,29.88113451,First,Male,0,0,51.8625
123,Yes,16,First,Female,0,1,57.9792
124,Yes,51,First,Female,1,0,77.9583
125,No,42,First,Male,1,0,52
126,Yes,35,First,Female,1,0,52
127,Yes,35,First,Male,0,0,26.55
128,Yes,38,First,Male,1,0,90
129,No,29.88113451,First,Male,0,0,30.6958
130,Yes,35,First,Female,1,0,90
131,Yes,38,First,Female,0,0,80
132,Yes,49,First,Male,0,0,0
133,No,46,First,Male,0,0,26
134,No,50,First,Male,0,0,26
135,No,58,First,Male,0,0,29.7
136,Yes,29.88113451,First,Female,1,0,51.8625
137,Yes,42,First,Male,1,0,52.5542
138,No,29.88113451,First,Male,0,0,26.55
139,Yes,30,First,Female,0,0,106.425
140,No,29.88113451,First,Male,0,0,27.7208
141,No,42,First,Male,0,0,26.55
142,Yes,16,First,Female,0,1,39.4
143,Yes,51,First,Female,0,1,39.4
144,No,29,First,Male,0,0,30
145,Yes,15,First,Female,0,1,211.3375
146,No,30,First,Male,0,0,26
147,Yes,29.88113451,First,Male,0,0,29.7
148,No,19,First,Male,1,0,53.1
149,Yes,18,First,Female,1,0,53.1
150,Yes,24,First,Female,0,0,49.5042
151,No,54,First,Male,0,0,51.8625
152,Yes,29.88113451,First,Female,1,0,82.1708
153,No,44,First,Male,2,0,90
154,Yes,33,First,Female,1,0,90
155,Yes,37,First,Female,1,0,90
156,Yes,30,First,Male,1,0,57.75
157,No,55,First,Male,0,0,30.5
158,No,47,First,Male,0,0,42.4
159,No,37,First,Male,0,1,29.7
160,No,58,First,Male,0,2,113.275
161,Yes,19,First,Female,0,2,26.2833
162,No,64,First,Male,0,0,26
163,Yes,29.88113451,First,Male,0,0,25.7417
164,Yes,22,First,Female,0,1,61.9792
165,No,65,First,Male,0,1,61.9792
166,No,29.88113451,First,Male,0,0,0
167,No,45.5,First,Male,0,0,28.5
168,No,23,First,Male,0,0,93.5
169,No,29,First,Male,1,0,66.6
170,Yes,22,First,Female,1,0,66.6
171,No,18,First,Male,1,0,108.9
172,Yes,17,First,Female,1,0,108.9
173,Yes,30,First,Female,0,0,93.5
174,Yes,52,First,Male,0,0,30.5
175,No,47,First,Male,0,0,52
176,Yes,56,First,Female,0,1,83.1583
177,No,22,First,Male,0,0,135.6333
178,No,29.88113451,First,Male,0,0,227.525
179,Yes,45,First,Male,0,0,26.55
180,No,29.88113451,First,Male,0,0,50
181,Yes,33,First,Female,0,0,27.7208
182,No,46,First,Male,0,0,79.2
183,No,36,First,Male,0,0,40.125
184,Yes,33,First,Female,0,0,86.5
185,No,55,First,Male,1,0,59.4
186,Yes,54,First,Female,1,0,59.4
187,No,33,First,Male,0,0,26.55
188,Yes,13,First,Male,2,2,262.375
189,Yes,18,First,Female,2,2,262.375
190,No,61,First,Male,1,3,262.375
191,Yes,48,First,Female,1,3,262.375
192,Yes,24,First,Female,0,0,69.3
193,Yes,35,First,Female,1,0,57.75
194,Yes,30,First,Female,0,0,31
195,Yes,34,First,Male,0,0,26.55
196,Yes,40,First,Female,0,0,153.4625
197,Yes,35,First,Male,0,0,26.2875
198,No,50,First,Male,1,0,55.9
199,No,56,First,Male,0,0,26.55
200,No,24,First,Male,1,0,60
201,No,29.88113451,First,Male,0,0,26
202,Yes,23,First,Female,1,0,82.2667
203,Yes,45,First,Male,1,1,134.5
204,Yes,40,First,Female,1,1,134.5
205,No,57,First,Male,1,0,146.5208
206,Yes,29.88113451,First,Female,1,0,146.5208
207,No,62,First,Male,0,0,26.55
208,Yes,54,First,Male,1,0,55.4417
209,Yes,43,First,Female,1,0,55.4417
210,No,29.88113451,First,Male,0,0,27.7208
211,Yes,62,First,Female,0,0,80
212,No,67,First,Male,1,0,221.7792
213,No,63,First,Female,1,0,221.7792
214,Yes,18,First,Female,0,2,79.65
215,Yes,48,First,Male,1,0,52
216,Yes,29.88113451,First,Female,1,0,52
217,No,49,First,Male,1,1,110.8833
218,Yes,17,First,Male,0,2,110.8833
219,Yes,39,First,Female,1,1,110.8833
220,Yes,29.88113451,First,Female,0,0,79.2
221,Yes,31,First,Male,0,0,28.5375
222,No,40,First,Male,0,0,27.7208
223,No,61,First,Male,0,0,33.5
224,No,47,First,Male,0,0,34.0208
225,Yes,35,First,Female,0,0,512.3292
226,No,64,First,Male,1,0,75.25
227,Yes,60,First,Female,1,0,75.25
228,No,54,First,Male,0,1,77.2875
229,No,21,First,Male,0,1,77.2875
230,Yes,55,First,Female,0,0,135.6333
231,No,57,First,Male,1,1,164.8667
232,Yes,45,First,Female,1,1,164.8667
233,No,50,First,Male,1,1,211.5
234,Yes,21,First,Female,0,0,26.55
235,No,51,First,Male,0,1,61.3792
236,Yes,21,First,Male,0,1,61.3792
237,No,29.88113451,First,Male,0,0,35
238,Yes,31,First,Female,0,0,134.5
239,Yes,29.88113451,First,Male,0,0,35.5
240,No,62,First,Male,0,0,26.55
241,Yes,36,First,Female,0,0,135.6333
242,No,30,Second,Male,1,0,24
243,No,30,Second,Male,0,0,13
244,No,18,Second,Male,0,0,11.5
245,No,25,Second,Male,0,0,10.5
246,Yes,36,Second,Female,1,0,26
247,No,18,Second,Male,0,0,11.5
248,No,23,Second,Male,0,0,10.5
249,Yes,36,Second,Female,0,0,13
250,No,28,Second,Male,0,0,10.5
251,No,51,Second,Male,0,0,12.525
252,Yes,32,Second,Male,1,0,26
253,Yes,1,Second,Male,2,1,39
254,Yes,4,Second,Female,2,1,39
255,Yes,12,Second,Female,2,1,39
256,Yes,36,Second,Female,0,3,39
257,Yes,19,Second,Female,0,0,13
258,No,23,Second,Male,0,0,13
259,No,26,Second,Male,0,0,13
260,No,42,Second,Male,0,0,13
261,No,27,Second,Male,0,0,13
262,Yes,15,Second,Female,0,2,39
263,No,60,Second,Male,1,1,39
264,Yes,40,Second,Female,1,1,39
265,Yes,20,Second,Female,1,0,26
266,No,25,Second,Male,1,0,26
267,Yes,36,Second,Female,0,0,13
268,No,25,Second,Male,0,0,13
269,No,42,Second,Male,0,0,13
270,Yes,42,Second,Female,0,0,13
271,Yes,26,Second,Male,1,1,29
272,Yes,22,Second,Female,1,1,29
273,No,29.88113451,Second,Male,0,0,0
274,No,19,Second,Male,0,0,13
275,No,52,Second,Male,0,0,13.5
276,No,29,Second,Female,1,0,26
277,Yes,25,Second,Female,1,1,30
278,Yes,28,Second,Female,1,0,26
279,No,29,Second,Male,0,0,10.5
280,No,28,Second,Male,0,0,13
281,Yes,8,Second,Female,0,2,26.25
282,No,31,Second,Male,1,1,26.25
283,No,30,Second,Female,0,0,13
284,No,29.88113451,Second,Female,0,0,21
285,No,21,Second,Male,0,0,11.5
286,Yes,48,Second,Female,0,2,36.75
287,Yes,28,Second,Female,0,0,13
288,No,32,Second,Male,0,0,13
289,Yes,18,Second,Female,0,1,23
290,No,54,Second,Male,0,0,26
291,No,42,Second,Male,1,1,32.5
292,Yes,27,Second,Female,1,0,13.8583
293,No,21,Second,Male,0,0,13
294,No,18,Second,Male,0,0,13
295,No,40,Second,Male,1,0,26
296,No,18,Second,Male,0,0,10.5
297,No,36,Second,Male,0,0,13
298,No,29.88113451,Second,Male,0,0,0
299,No,38,Second,Female,0,0,13
300,No,38,Second,Male,1,0,21
301,No,34,Second,Male,1,0,21
302,No,16,Second,Male,0,0,26
303,No,26,Second,Male,0,0,10.5
304,No,47,Second,Male,0,0,10.5
305,No,21,Second,Male,1,0,11.5
306,No,24,Second,Male,0,0,13
307,No,34,Second,Male,0,0,13
308,No,30,Second,Male,0,0,13
309,No,52,Second,Male,0,0,13
310,No,30,Second,Male,0,0,13
311,Yes,0.6667,Second,Male,1,1,14.5
312,No,44,Second,Male,0,0,13
313,Yes,62,Second,Male,0,0,10.5
314,No,30,Second,Male,0,0,10.5
315,Yes,7,Second,Female,0,2,26.25
316,No,43,Second,Male,1,1,26.25
317,Yes,45,Second,Female,1,1,26.25
318,Yes,24,Second,Female,1,2,65
319,Yes,55,Second,Female,0,0,16
320,No,24,Second,Male,2,0,73.5
321,No,32,Second,Male,2,0,73.5
322,No,21,Second,Male,2,0,73.5
323,No,18,Second,Female,1,1,13
324,Yes,20,Second,Female,2,1,23
325,No,23,Second,Male,2,1,11.5
326,No,36,Second,Male,0,0,13
327,No,50,Second,Male,0,0,13
328,No,44,Second,Male,1,0,26
329,No,21,Second,Male,0,0,73.5
330,Yes,42,Second,Male,0,0,13
331,No,63,Second,Male,1,0,26
332,No,60,Second,Female,1,0,26
333,No,33,Second,Male,0,0,12.275
334,Yes,17,Second,Female,0,0,10.5
335,Yes,24,Second,Female,2,1,27
336,No,47,Second,Male,0,0,15
337,No,24,Second,Male,2,0,31.5
338,No,22,Second,Male,2,0,31.5
339,No,32,Second,Male,0,0,10.5
340,Yes,23,Second,Female,0,0,13.7917
341,No,34,Second,Male,1,0,26
342,No,22,Second,Female,0,0,21
343,Yes,29.88113451,Second,Female,0,0,12.35
344,No,35,Second,Male,0,0,12.35
345,Yes,45,Second,Female,0,0,13.5
346,No,57,Second,Male,0,0,12.35
347,No,29.88113451,Second,Male,0,0,0
348,No,26,Second,Female,1,1,26
349,No,30,Second,Male,1,1,26
350,No,29.88113451,Second,Male,0,0,10.7083
351,Yes,1,Second,Female,1,2,41.5792
352,Yes,3,Second,Female,1,2,41.5792
353,No,25,Second,Male,1,2,41.5792
354,Yes,17,Second,Female,0,0,12
355,Yes,29.88113451,Second,Female,0,0,33
356,Yes,34,Second,Female,0,0,10.5
357,No,36,Second,Male,0,0,12.875
358,No,24,Second,Male,0,0,10.5
359,No,61,Second,Male,0,0,12.35
360,No,57,Second,Female,0,0,10.5
361,No,29.88113451,Second,Male,0,0,15.0458
362,Yes,1,Second,Male,0,2,37.0042
363,Yes,24,Second,Female,1,1,37.0042
364,No,40,Second,Male,0,0,16
365,No,30,Second,Male,0,0,13
366,No,46,Second,Male,0,0,26
367,Yes,13,Second,Female,0,1,19.5
368,Yes,41,Second,Female,0,1,19.5
369,No,70,Second,Male,0,0,10.5
370,No,27,Second,Male,0,0,13
371,No,54,Second,Male,0,0,14
372,No,39,Second,Male,0,0,26
373,No,16,Second,Male,0,0,10.5
374,No,62,Second,Male,0,0,9.6875
375,No,26,Second,Male,0,0,13
376,No,19,Second,Male,1,1,36.75
377,Yes,29,Second,Female,0,0,10.5
378,No,39,Second,Male,0,0,13
379,Yes,29.88113451,Second,Male,0,0,13.8625
380,Yes,29,Second,Male,0,0,13.8583
381,No,28,Second,Male,0,0,10.5
382,No,29.88113451,Second,Male,0,0,0
383,Yes,50,Second,Female,0,1,26
384,No,29.88113451,Second,Male,0,0,15.05
385,No,41,Second,Male,0,0,13
386,Yes,21,Second,Female,0,1,21
387,Yes,19,Second,Female,0,0,26
388,No,43,Second,Male,0,1,21
389,Yes,30,Second,Male,0,0,12.7375
390,No,27,Second,Male,0,0,15.0333
391,Yes,2,Second,Female,1,1,26
392,Yes,8,Second,Female,1,1,26
393,Yes,33,Second,Female,0,2,26
394,No,36,Second,Male,0,0,10.5
395,No,34,Second,Male,1,0,21
396,Yes,30,Second,Female,3,0,21
397,Yes,28,Second,Female,0,0,13
398,No,23,Second,Male,0,0,15.0458
399,Yes,3,Second,Male,1,1,18.75
400,Yes,24,Second,Female,2,3,18.75
401,No,19,Second,Male,0,0,10.5
402,Yes,21,Second,Female,0,0,10.5
403,No,26,Second,Male,0,0,13
404,No,25,Second,Male,0,0,13
405,Yes,25,Second,Female,0,1,26
406,Yes,18,Second,Female,0,2,13
407,Yes,20,Second,Female,0,0,36.75
408,Yes,30,Second,Female,0,0,13
409,Yes,40,Second,Female,0,0,13
410,No,25,Second,Male,0,0,10.5
411,No,18.5,Second,Male,0,0,13
412,No,23,Second,Male,0,0,13
413,No,27,Second,Female,1,0,21
414,No,40,Second,Male,0,0,13
415,Yes,31,Second,Female,0,0,21
416,Yes,40,Second,Female,0,0,15.75
417,Yes,2,Second,Male,1,1,23
418,Yes,4,Second,Female,1,1,23
419,Yes,29,Second,Female,0,2,23
420,Yes,5,Second,Female,1,2,27.75
421,No,36,Second,Male,1,2,27.75
422,Yes,33,Second,Female,1,2,27.75
423,No,66,Second,Male,0,0,10.5
424,No,29.88113451,Second,Male,0,0,12.875
425,Yes,31,Second,Male,0,0,13
426,No,42,Third,Male,0,0,7.55
427,No,13,Third,Male,0,2,20.25
428,No,16,Third,Male,1,1,20.25
429,Yes,35,Third,Female,1,1,20.25
430,Yes,16,Third,Female,0,0,7.65
431,Yes,18,Third,Female,0,0,7.2292
432,No,26,Third,Male,0,0,8.05
433,No,40,Third,Female,1,0,9.475
434,Yes,0.8333,Third,Male,0,1,9.35
435,Yes,18,Third,Female,0,1,9.35
436,No,26,Third,Male,0,0,7.8875
437,No,20,Third,Male,0,0,7.925
438,No,24,Third,Male,0,0,7.05
439,No,35,Third,Male,0,0,8.05
440,No,18,Third,Male,0,0,8.3
441,Yes,19,Third,Female,1,0,7.8542
442,No,4,Third,Male,4,2,31.275
443,No,6,Third,Female,4,2,31.275
444,No,2,Third,Female,4,2,31.275
445,Yes,17,Third,Female,4,2,7.925
446,No,38,Third,Female,4,2,7.775
447,No,9,Third,Female,4,2,31.275
448,No,11,Third,Female,4,2,31.275
449,Yes,27,Third,Male,0,0,7.7958
450,No,39,Third,Female,1,5,31.275
451,No,20,Third,Male,0,0,7.8542
452,No,25,Third,Male,1,0,17.8
453,No,35,Third,Male,0,0,7.05
454,No,5,Third,Male,4,2,31.3875
455,No,9,Third,Male,4,2,31.3875
456,Yes,3,Third,Male,4,2,31.3875
457,Yes,5,Third,Female,4,2,31.3875
458,No,40,Third,Male,1,5,31.3875
459,Yes,45,Third,Female,0,0,7.225
460,No,21,Third,Male,0,0,7.225
461,No,23,Third,Male,0,0,7.05
462,Yes,13,Third,Female,0,0,7.2292
463,No,20,Third,Male,0,0,7.225
464,No,32,Third,Male,1,0,15.85
465,Yes,33,Third,Female,3,0,15.85
466,Yes,0.75,Third,Female,2,1,19.2583
467,Yes,5,Third,Female,2,1,19.2583
468,Yes,18,Third,Female,0,0,8.05
469,No,26,Third,Male,0,0,7.8958
470,Yes,20,Third,Male,0,0,7.2292
471,No,18,Third,Female,0,1,14.4542
472,No,45,Third,Female,0,1,14.4542
473,No,22,Third,Male,0,0,8.05
474,No,19,Third,Male,0,0,8.05
475,No,26,Third,Male,0,0,7.775
476,Yes,32,Third,Male,0,0,56.4958
477,No,18,Third,Male,0,0,7.75
478,No,26,Third,Male,0,0,7.8958
479,No,6,Third,Male,1,1,15.2458
480,No,9,Third,Female,1,1,15.2458
481,No,40,Third,Male,1,1,15.5
482,No,21,Third,Male,0,0,16.1
483,Yes,22,Third,Female,0,0,7.725
484,No,20,Third,Female,0,0,7.8542
485,No,22,Third,Male,1,0,7.25
486,No,22,Third,Male,0,0,7.7958
487,No,18.5,Third,Female,0,0,7.2833
488,No,19,Third,Male,0,0,6.75
489,No,18,Third,Female,0,0,7.8792
490,No,21,Third,Female,0,0,8.6625
491,No,30,Third,Female,0,0,8.6625
492,No,38,Third,Male,0,0,8.6625
493,No,17,Third,Male,0,0,8.6625
494,No,21,Third,Female,0,0,7.75
495,No,21,Third,Male,0,0,7.75
496,No,21,Third,Male,0,0,8.05
497,No,29.88113451,Third,Male,1,0,14.4583
498,No,29.88113451,Third,Female,1,0,14.4583
499,No,24,Third,Male,0,0,7.8542
500,No,28,Third,Male,0,0,7.25
501,No,24,Third,Male,0,0,8.05
502,No,21,Third,Male,0,0,7.7333
503,No,29,Third,Male,0,0,8.05
504,No,18,Third,Male,1,0,14.4542
505,Yes,18,Third,Male,0,0,8.05
506,No,24,Third,Male,0,0,7.25
507,No,36,Third,Male,0,0,7.4958
508,No,31,Third,Male,0,0,7.75
509,Yes,22,Third,Female,0,0,7.75
510,No,70.5,Third,Male,0,0,7.75
511,No,35,Third,Male,0,0,7.8958
512,No,27,Third,Male,0,0,7.8958
513,No,19,Third,Male,0,0,7.8958
514,No,30,Third,Male,0,0,8.05
515,Yes,9,Third,Male,1,1,15.9
516,Yes,3,Third,Male,1,1,15.9
517,No,59,Third,Male,0,0,7.25
518,Yes,17,Third,Female,0,1,16.1
519,No,44,Third,Male,0,1,16.1
520,No,17,Third,Male,0,0,8.6625
521,Yes,30,Third,Female,0,0,6.95
522,Yes,29,Third,Male,0,0,7.75
523,No,34,Third,Male,1,1,14.4
524,No,27,Third,Male,0,0,7.8958
525,No,25,Third,Male,0,0,7.8958
526,No,24,Third,Male,2,0,24.15
527,No,22,Third,Male,0,0,8.05
528,No,17,Third,Male,2,0,8.05
529,No,29.88113451,Third,Male,1,0,16.1
530,Yes,29.88113451,Third,Female,1,0,16.1
531,Yes,36.5,Third,Male,1,0,17.4
532,Yes,36,Third,Female,1,0,17.4
533,Yes,30,Third,Male,0,0,9.5
534,No,16,Third,Male,0,0,9.5
535,Yes,1,Third,Male,1,2,20.575
536,Yes,0.1667,Third,Female,1,2,20.575
537,Yes,33,Third,Female,1,2,20.575
538,No,25,Third,Male,0,0,7.8958
539,No,29.88113451,Third,Male,0,0,7.8958
540,No,36,Third,Male,0,0,7.25
541,Yes,19,Third,Female,0,0,7.8792
542,No,43,Third,Male,0,0,7.8958
543,No,29.88113451,Third,Male,0,0,7.2292
544,No,32,Third,Male,0,0,7.75
545,Yes,19,Third,Male,0,0,8.05
546,Yes,30,Third,Female,0,0,12.475
547,Yes,23,Third,Female,0,0,8.05
548,No,33,Third,Male,0,0,7.8958
549,No,65,Third,Male,0,0,7.75
550,Yes,24,Third,Male,0,0,7.55
551,No,23,Third,Male,1,0,13.9
552,Yes,22,Third,Female,1,0,13.9
553,No,18,Third,Male,0,0,7.775
554,No,16,Third,Male,0,0,7.775
555,No,45,Third,Male,0,0,6.975
556,No,29.88113451,Third,Male,0,0,7.225
557,No,17,Third,Male,1,1,7.2292
558,No,15,Third,Male,1,1,7.2292
559,Yes,5,Third,Female,0,0,12.475
560,No,29.88113451,Third,Male,0,0,7.225
561,No,40.5,Third,Male,0,0,15.1
562,No,40.5,Third,Male,0,0,7.75
563,No,18,Third,Male,0,0,7.7958
564,No,29.88113451,Third,Female,0,0,7.75
565,No,29.88113451,Third,Male,0,0,7.75
566,Yes,29.88113451,Third,Male,0,0,56.4958
567,No,9,Third,Female,2,2,34.375
568,No,29.88113451,Third,Male,0,0,8.05
569,No,18,Third,Male,2,2,34.375
570,No,48,Third,Female,1,3,34.375
571,No,29.88113451,Third,Male,0,0,7.75
572,No,29.88113451,Third,Male,0,0,7.25
573,No,25,Third,Male,0,0,7.7417
574,No,29.88113451,Third,Male,0,0,14.5
575,No,29.88113451,Third,Male,0,0,7.8958
576,Yes,16,Third,Female,0,0,7.7333
577,Yes,29.88113451,Third,Female,0,0,7.75
578,Yes,9,Third,Male,0,2,20.525
579,No,33,Third,Male,1,1,20.525
580,No,41,Third,Male,0,0,7.85
581,No,38,Third,Male,0,0,7.05
582,No,9,Third,Male,5,2,46.9
583,No,11,Third,Male,5,2,46.9
584,No,10,Third,Female,5,2,46.9
585,No,16,Third,Female,5,2,46.9
586,No,14,Third,Male,5,2,46.9
587,No,40,Third,Male,1,6,46.9
588,No,43,Third,Female,1,6,46.9
589,No,51,Third,Male,0,0,8.05
590,No,32,Third,Male,0,0,8.3625
591,No,29.88113451,Third,Male,0,0,8.05
592,No,37,Third,Male,2,0,7.925
593,No,28,Third,Male,2,0,7.925
594,No,24,Third,Female,0,0,8.85
595,No,17,Third,Female,0,0,7.7333
596,No,29.88113451,Third,Male,1,0,19.9667
597,No,28,Third,Male,1,0,15.85
598,No,23.5,Third,Male,0,0,7.2292
599,No,41,Third,Male,2,0,14.1083
600,No,26,Third,Male,1,0,7.8542
601,No,21,Third,Male,0,0,7.8542
602,Yes,45,Third,Female,1,0,14.1083
603,No,29.88113451,Third,Female,0,0,7.55
604,No,25,Third,Male,0,0,7.25
605,No,29.88113451,Third,Male,0,0,6.8583
606,Yes,29.88113451,Third,Female,0,0,7.75
607,Yes,29.88113451,Third,Male,0,0,56.4958
608,Yes,26,Third,Female,0,0,7.925
609,Yes,22,Third,Female,0,0,8.9625
610,No,28,Third,Male,0,0,7.8958
611,No,28,Third,Female,0,0,7.775
612,No,29.88113451,Third,Female,0,0,7.75
613,Yes,2,Third,Female,0,1,12.2875
614,No,28,Third,Male,0,0,22.525
615,Yes,27,Third,Female,0,0,7.925
616,No,42,Third,Male,0,0,7.65
617,Yes,29.88113451,Third,Male,0,0,7.8875
618,No,30,Third,Male,0,0,7.2292
619,No,27,Third,Female,1,0,7.925
620,No,29.88113451,Third,Male,0,0,7.8958
621,Yes,29,Third,Male,0,0,7.8958
622,Yes,21,Third,Male,0,0,7.7958
623,No,29.88113451,Third,Male,0,0,7.05
624,No,20,Third,Male,0,0,7.8542
625,No,48,Third,Male,0,0,7.8542
626,No,17,Third,Male,1,0,7.0542
627,Yes,29.88113451,Third,Female,0,0,7.75
628,No,34,Third,Male,0,0,6.4958
629,Yes,26,Third,Male,0,0,7.775
630,No,22,Third,Male,0,0,7.7958
631,No,33,Third,Male,0,0,8.6542
632,Yes,4,Third,Male,1,1,11.1333
633,Yes,1,Third,Female,1,1,11.1333
634,No,49,Third,Male,0,0,0
635,No,19,Third,Male,0,0,0
636,Yes,27,Third,Female,0,2,11.1333
637,No,29.88113451,Third,Male,1,2,23.45
638,No,29.88113451,Third,Female,1,2,23.45
639,No,29.88113451,Third,Male,1,2,23.45
640,Yes,32,Third,Male,0,0,7.8542
641,No,27,Third,Male,0,0,7.8542
642,No,20,Third,Female,1,0,9.825
643,No,21,Third,Female,1,0,9.825
644,Yes,32,Third,Male,0,0,7.925
645,No,17,Third,Male,0,0,7.125
646,No,21,Third,Male,0,0,8.4333
647,Yes,21,Third,Male,0,0,7.7958
648,No,33,Third,Male,0,0,7.8542
649,No,22,Third,Male,0,0,7.5208
650,Yes,4,Third,Female,0,1,13.4167
651,Yes,39,Third,Male,0,1,13.4167
652,No,29.88113451,Third,Male,0,0,7.2292
653,No,18.5,Third,Male,0,0,7.2292
654,No,29.88113451,Third,Male,0,0,7.75
655,Yes,29.88113451,Third,Female,0,0,7.75
656,Yes,29.88113451,Third,Female,0,0,7.75
657,No,34.5,Third,Male,0,0,7.8292
658,Yes,29.88113451,Third,Male,0,0,7.75
659,No,29.88113451,Third,Male,1,0,14.4542
660,No,29.88113451,Third,Female,1,0,14.4542
661,No,29.88113451,Third,Male,1,0,7.75
662,No,29.88113451,Third,Male,1,0,7.75
663,Yes,29,Third,Male,3,1,22.025
664,Yes,26,Third,Female,1,1,22.025
665,No,1,Third,Female,1,1,12.1833
666,No,18,Third,Male,1,1,7.8542
667,No,36,Third,Female,0,2,12.1833
